NEXRAD SYSTEM,ICAO,CITY,STATE
ALTUS AFB,KFDR,NORMAN,OK
ANDERSEN AFB,PGUA,AGANA,GU
BEALE AFB,KBBX,SACRAMENTO,CA
CANNON AFB,KFDX,ALBUQUERQUE,NM
COLUMBUS AFB,KGWX,JACKSON,MS
DOVER AFB,KDOX,WAKEFIELD,VA
DYESS AFB,KDYX,SAN ANGELO,TX
EDWARDS AFB,KEYX,LAS VEGAS,NV
EGLIN AFB,KEVX,MOBILE,AL
FT CAMPBELL,KHPX,PADUCAH,KY
FT DRUM,KTYX,SOUTH BURLINGTON,VT
FT HOOD,KGRK,FORT WORTH,TX
FT POLK,KPOE,LAKE CHARLES,LA
FT RUCKER,KEOX,TALLAHASSEE,FL
HOLLOMAN AFB,KHDX,SANTA TERESA,NM
LAUGHLIN AFB,KDFX,NEW BRAUNFELS,TX
MAXWELL AFB,KMXX,ALABASTER,AL
MINOT AFB,KMBX,BISMARCK,ND
MOODY AFB,KVAX,JACKSONVILLE,FL
ROBINS AFB,KJGX,PEACHTREE CITY,GA
VANCE AFB,KVNX,NORMAN,OK
