NEXRAD SYSTEM,ICAO,CITY,STATE
ABERDEEN,KABR,ABERDEEN,SD
BISMARCK,KBIS,BISMARCK,ND
DENVER,KFTG,FRONT RANGE AP,CO
DES MOINES,KDMX,JOHNSTON,IA
DETROIT,KDTX,WHITE LAKE,MI
DODGE CITY,KDDC,DODGE CITY,KS
DULUTH,KDLH,DULUTH,MN
CHEYENNE,KCYS,CHEYENNE,WY
CHICAGO,KLOT,ROMEOVILLE,IL
GOODLAND,KGLD,GOODLAND,KS
GRAND ISLAND,KUEX,BLUE HILL,NE
GRAND JUNCTION,KGJX,GRAND JUNCTION,CO
GRAND RAPIDS,KGRR,GRAND RAPIDS,MI
FARGO/GRAND FORKS,KMVX,GRAND FORKS,ND
GREEN BAY,KGRB,GREEN BAY,WI
INDIANAPOLIS,KIND,INDIANAPOLIS,IN
JACKSON,KJKL,JACKSON,KY
LA CROSSE,KARX,LA CROSSE,WI
LINCOLN,KILX,LINCOLN,IL
LOUISVILLE,KLVX,FORT KNOX,KY
MARQUETTE,KMQT,NEGAUNEE,MI
MILWAUKEE,KMKX,DOUSMAN,WI
MINNEAPOLIS,KMPX,CHANHASSEN,MN
NCL MICHIGAN,KAPX,GAYLORD,MI
NORTH PLATTE,KLNX,NORTH PLATTE,NE
NORTHERN INDIANA,KIWX,NORTH WEBSTER,IN
OMAHA,KOAX,VALLEY,NE
PADUCAH,KPAH,PADUCAH,KY
PLEASANT HILL,KEAX,PLEASANT HILL,MO
PUEBLO,KPUX,PUEBLO,CO
QUAD CITIES,KDVN,DAVENPORT,IA
RAPID CITY,KUDX,NEW UNDERWOOD,SD
RIVERTON/LANDER,KRIW,RIVERTON,WY
SPRINGFIELD,KSGF,SPRINGFIELD,MO
ST LOUIS,KLSX,WELDON SPRING,MO
SIOUX FALLS,KFSD,SIOUX FALLS,SD
TOPEKA,KTWX,TOPEKA,KS
WICHITA,KICT,WICHITA,KS
EVANSVILLE,KVWX,OWENSVILLE,IN
