NEXRAD SYSTEM,ICAO,CITY,STATE
WILMINGTON,KLTX,SHALLOTTE,NC
STATE COLLEGE,KCCX,STATE COLLEGE,PA
STERLING,KLWX,STERLING,VA
ROANOKE,KFCX,ROANOKE,VA
RALEIGH/DURHAM,KRAX,CLAYTON,NC
PORTLAND,KGYX,GRAY,ME
PHILADELPHIA,KDIX,FORT DIX,NJ
PITTSBURGH,KPBZ,CORAOPOLIS,PA
NORFOLK,KAKQ,WAKEFIELD,VA
MOREHEAD CITY,KMHX,NEWPORT,NC
GREER,KGSP,GREER,SC
CINCINNATI,KILN,WILMINGTON,OH
CLEVELAND,KCLE,CLEVELAND,OH
COLUMBIA,KCAE,WEST COLUMBIA,SC
BINGHAMTON,KBGM,BINGHAMTON,NY
ALBANY,KENX,EAST BERNE,NY
BUFFALO,KBUF,BUFFALO,NY
BURLINGTON,KCXX,COLCHESTER,VT
CARIBOU,KCBW,HOULTON,ME
BOSTON,KBOX,TAUNTON,MA
BROOKHAVEN,KOKX,UPTON,NY
CHARLESTON,KCLX,GRAYS,SC
CHARLESTON,KRLX,CHARLESTON,WV
