NEXRAD SYSTEM,ICAO,CITY,STATE
BROWNSVILLE,KBRO,BROWNSVILLE,TX
ALBUQUERQUE,KABX,ALBUQUERQUE,NM
AMARILLO,KAMA,AMARILLO,TX
ATLANTA,KFFC,PEACHTREE CITY,GA
AUSTIN/SAN ANTONIO,KEWX,NEW BRAUNFELS,TX
BIRMINGHAM,KBMX,ALABASTER,AL
CORPUS CHRISTI,KCRP,CORPUS CHRISTI,TX
DALLAS/FT WORTH,KFWS,FORT WORTH,TX
EL PASO,KEPZ,SANTA TERESA,NM
HOUSTON,KHGX,DICKINSON,TX
JACKSONVILLE,KJAX,JACKSONVILLE,FL
KEY WEST,KBYX,BOCA CHICA KEY,FL
KNOXVILLE,KMRX,MORRISTOWN,TN
LUBBOCK,KLBB,LUBBOCK,TX
LITTLE ROCK,KLZK,NORTH LITTLE ROCK,AR
LAKE CHARLES,KLCH,LAKE CHARLES,LA
NASHVILLE,KOHX,OLD HICKORY,TN
MELBOURNE,KMLB,MELBOURNE,FL
MEMPHIS,KNQA,MILLINGTON,TN
MIAMI,KAMX,MIAMI,FL
MIDLAND/ODESSA,KMAF,MIDLAND,TX
NORMAN,KTLX,OKLAHOMA CITY,OK
NORTHEAST ALABAMA,KHTX,HYTOP,AL
MOBILE,KMOB,MOBILE,AL
TALLAHASSEE,KTLH,TALLAHASSEE,FL
TAMPA,KTBW,RUSKIN,FL
SAN ANGELO,KSJT,SAN ANGELO,TX
TULSA,KINX,INOLA,OK
WESTERN ARKANSAS,KSRX,CHAFFEE RIDGE,AR
SLIDELL,KLIX,SLIDELL,LA
BRANDON,KDGX,BRANDON,MS
SHREVEPORT,KSHV,SHREVEPORT,LA
