NEXRAD SYSTEM,ICAO,CITY,STATE
SPOKANE,KOTX,SPOKANE,WA
TUCSON,KEMX,TUCSON,AZ
YUMA,KYUX,YUMA,AZ
SAN DIEGO,KNKX,SAN DIEGO,CA
SAN FRANCISCO,KMUX,LOS GATOS,CA
SAN JOAQUIN VALY,KHNX,HANFORD,CA
SANTA ANA MTS,KSOX,SANTA ANA MOUNTAINS,CA
SEATTLE,KATX,EVERETT,WA
PHOENIX,KIWA,PHOENIX,AZ
PORTLAND,KRTX,PORTLAND,OR
POCATELLO,KSFX,SPRINGFIELD,ID
RENO,KRGX,NIXON,NV
SACRAMENTO,KDAX,DAVIS,CA
SALT LAKE CITY,KMTX,SALT LAKE CITY,UT
PENDLETON,KPDT,PENDLETON,OR
MISSOULA,KMSX,MISSOULA,MT
LAS VEGAS,KESX,LAS VEGAS,NV
LOS ANGELES,KVTX,LOS ANGELES,CA
MEDFORD,KMAX,MEDFORD,OR
FLAGSTAFF,KFSX,FLAGSTAFF,AZ
GLASGOW,KGGW,GLASGOW,MT
ELKO,KLRX,ELKO,NV
EUREKA (BUNKER HILL),KBHX,EUREKA,CA
GREAT FALLS,KTFX,GREAT FALLS,MT
BOISE,KCBX,BOISE,ID
BILLINGS,KBLX,BILLINGS,MT
CEDAR CITY,KICX,CEDAR CITY,UT
